user_id,timestamp_unix,device_hash,ip_hash,geo_hash,failed_attempts,label,attack_type,hour_of_day,role
157,1730215391,9219455754066536498,3119079827,907633113,0,0,none,15.2682,0
12,1728125397,8253081856343977678,2679505,794599478,0,0,none,10.9097,1
172,1735456892,2424670774325250499,3332272936,794599478,0,0,none,7.3019,1
72,1728132522,16378668747103924656,3987131453,907633113,0,0,none,12.6693,2
95,1733742378,15759066786760598968,2121858958,2394598745,0,0,none,10.9884,2
55,1734893836,351494638179093263,308808922,2645716411,0,0,none,18.8411,0
145,1730033062,7150237249065381393,2261723346,3026882549,0,0,none,12.9508,0
153,1727778688,12824827693586968306,2717579728,794599478,0,0,none,10.617,2
7,1729169127,8717428134697119940,3265679916,2394598745,0,0,none,12.9992,0
33,1732358400,822047216357968155,287856707,2394598745,0,0,none,10.6178,0
116,1733324223,5482672901168532231,1772086970,2394598745,0,0,none,15.0751,0
16,1733037503,11982718069914024818,447908608,2645716411,0,0,none,7.0745,0
83,1734440695,12787626043662491197,3449364333,907633113,0,0,none,13.2479,2
76,1732803533,5201162600141245846,354448457,3656383652,0,0,none,14.2772,0
111,1732690104,15605030536693327225,1135867659,2645716411,0,0,none,6.927,1
171,1730542331,1018410270822652496,1376421849,907633113,0,0,none,10.2404,0
191,1731838993,1162038797093998794,852359460,1993744450,0,0,none,10.1753,1
171,1732436953,1018410270822652496,792204537,794599478,0,0,none,8.2436,2
130,1730098055,4342060079804174685,1565506179,44253817,0,0,none,6.9553,0
196,1730808456,7471767064009459803,2829279422,44253817,0,0,none,12.0503,2
178,1730723344,2291266850178148751,4270296821,3656383652,0,0,none,12.7183,0
37,1734002530,14922801859333357709,2522354220,3026882549,1,0,none,11.2456,2
56,1731936991,13651009755336316198,805991549,1993744450,0,0,none,13.62,0
14,1729415297,6031291153349745899,2466933616,44253817,0,0,none,9.2986,1
125,1734434865,13727391369086068564,2505027510,2645716411,0,0,none,11.4613,0
73,1735207503,6684407701985065387,915595220,44253817,0,0,none,9.9484,0
53,1731051449,15156900609185852833,2501770762,907633113,1,0,none,7.7548,2
111,1729674720,15605030536693327225,2838063514,2645716411,0,0,none,9.3768,2
11,1732539661,10925230623824663159,106779611,1993744450,0,0,none,13.2564,2
164,1732358958,15584133187961781654,3992746759,44253817,0,0,none,10.9073,2
93,1728732580,15636246911250448834,1560429301,3656383652,0,0,none,11.4963,1
80,1731480531,9832164432535610114,3350617603,794599478,0,0,none,6.9385,0
199,1731584634,12074691558068851519,1786890784,2394598745,0,0,none,11.7821,0
155,1729428949,15770905058614505485,3538689146,907633113,0,0,none,12.7481,2
195,1734157763,6183876540826662010,186465212,3656383652,0,0,none,6.4845,0
121,1732619356,4920281611003144290,1836112051,3026882549,0,0,none,11.0455,1
119,1732721420,16544840416463640869,805991549,2394598745,0,0,none,15.7343,2
99,1732870602,16505854208795083265,2786131078,794599478,0,0,none,8.865,1
129,1729429726,12540748675133655181,53530114,3656383652,0,0,none,13.3612,0
11,1730448258,10925230623824663159,1653909724,1993744450,0,0,none,7.9194,1
100,1732266896,200028776184099710,839971176,794599478,0,0,none,9.0586,0
143,1735202386,640748887290044956,4136878442,1993744450,0,0,none,8.6932,2
