user_id,timestamp_unix,device_hash,ip_hash,geo_hash,failed_attempts,label,attack_type,hour_of_day
29,1731660638,10037548549850018703,41103259,2394598745,0,0,none,8.937
199,1733393514,8674775825835363306,2421094866,2394598745,0,0,none,10.2382
147,1732612995,18045619454686667832,3419787649,1993744450,0,0,none,9.4059
31,1735462307,6841890410624156225,1920321130,1993744450,0,0,none,8.9619
20,1735466866,1991745801880336540,1739104993,3026882549,0,0,none,10.1353
116,1730029855,5482672901168532231,2146956492,2394598745,0,0,none,11.9756
194,1731827142,6216298921734628600,3791965244,794599478,0,0,none,7.3414
176,1733827256,1544025197328723303,1771991059,794599478,0,0,none,10.4685
56,1728390574,13651009755336316198,3730288557,1993744450,0,0,none,12.6714
48,1730200381,5924379313934305196,1786890784,2645716411,0,0,none,11.4176
81,1734775507,11143525509613113035,911282841,794599478,0,0,none,10.0645
15,1730718007,12049474159946691221,817437980,3656383652,0,0,none,11.0229
199,1730457987,12074691558068851519,3239498509,2394598745,0,0,none,10.7014
78,1728987091,2856431049178337545,978603071,2645716411,0,0,none,10.2347
75,1735206007,8789962356462624923,3185105180,1993744450,0,0,none,9.4959
90,1731509063,13879953617340852412,735758807,44253817,0,0,none,14.7566
13,1731152339,16501179315635600466,1364284252,3656383652,0,0,none,11.4866
36,1732784364,8063692943215254499,2807907088,907633113,0,0,none,8.8664
106,1734612900,11150938057387652612,811021871,3026882549,0,0,none,12.8904
9,1731581887,231545540110201356,529999930,794599478,0,0,none,10.985
91,1729856837,1059599934232172539,2071021660,2394598745,0,0,none,11.5433
82,1729509069,5463019973574948461,581706374,2645716411,0,0,none,11.3671
154,1730204309,10599452077473450687,918887412,2394598745,0,0,none,12.5251
127,1732095041,1417518553764824726,2522354220,3026882549,0,0,none,9.5178
106,1734784097,8764644974124765352,2241981524,3026882549,0,0,none,12.4674
40,1732965251,37351797901701588,111094995,794599478,0,0,none,11.345
17,1728213411,9099584738136220600,3465295679,907633113,0,0,none,11.0387
158,1732855594,16454901982142752308,1415539757,2550587557,8,1,brute_force,4.709
182,1733300714,2000564027659191606,3006419982,44253817,0,0,none,8.4356
95,1731582295,8814494439959794304,316557774,2394598745,0,0,none,10.9367
148,1729764313,11160624225005417454,532499336,44253817,0,0,none,10.0705
80,1729402763,6376173599242500560,2044457028,44253817,1,0,none,5.8834
149,1730021026,10817205741463642345,4178371373,44253817,0,0,none,9.3604
109,1731850506,6395356113773333254,1365637232,907633113,0,0,none,13.4589
57,1735200437,12119775825702704180,466874791,907633113,0,0,none,7.8847
106,1729053225,4944524387670528363,865616390,3262439288,4,1,brute_force,4.7298
86,1727872492,2908978818084261242,3740194638,907633113,0,0,none,12.659
90,1732356477,8859936296487214287,1198613563,44253817,0,0,none,10.2424
99,1729761321,10191063868946581044,2522354220,794599478,0,0,none,9.4042
80,1731653911,13119498667825866714,2019078685,794599478,0,0,none,7.1246
162,1728824247,12826305685814631827,2930795467,907633113,0,0,none,12.9306
73,1730035811,6684407701985065387,2252793440,44253817,1,0,none,13.3641
